Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
2025-11-06 15:11:00.647713,0,0,0,0
2025-11-06 15:11:01.539294,0,0,0,0
2025-11-06 15:11:01.660855,1,0,0,0
2025-11-06 15:11:01.769282,1,0,0,0
2025-11-06 15:11:01.877917,1,0,0,0
2025-11-06 15:11:01.970950,1,0,0,0
2025-11-06 15:11:02.065638,1,0,0,0
2025-11-06 15:11:02.158978,1,0,0,0
2025-11-06 15:11:02.252519,1,0,0,0
2025-11-06 15:11:02.346676,1,0,0,0
2025-11-06 15:11:02.454851,1,0,0,0
2025-11-06 15:11:02.548936,1,0,0,0
2025-11-06 15:11:02.657349,1,0,0,0
2025-11-06 15:11:02.766073,1,0,0,0
2025-11-06 15:11:02.876239,1,0,0,0
2025-11-06 15:11:02.968813,1,0,0,0
2025-11-06 15:11:03.077657,1,0,0,0
2025-11-06 15:11:03.171650,1,0,0,0
2025-11-06 15:11:03.281554,1,0,0,0
2025-11-06 15:11:03.390885,1,0,0,0
2025-11-06 15:11:03.497763,1,0,0,0
2025-11-06 15:11:03.592284,1,0,0,0
2025-11-06 15:11:03.700370,1,0,0,0
2025-11-06 15:11:03.808036,1,0,0,0
2025-11-06 15:11:03.917133,1,0,0,0
2025-11-06 15:11:04.028203,1,0,0,0
2025-11-06 15:11:04.137577,1,0,0,0
2025-11-06 15:11:04.243872,1,0,0,0
2025-11-06 15:11:04.387287,1,0,0,0
2025-11-06 15:11:04.526748,1,0,0,0
2025-11-06 15:11:04.634742,1,0,0,0
2025-11-06 15:11:04.743242,1,0,0,0
2025-11-06 15:11:04.854776,1,0,0,0
2025-11-06 15:11:04.979393,1,0,0,0
2025-11-06 15:11:05.087596,1,0,0,0
2025-11-06 15:11:05.182252,1,0,0,0
2025-11-06 15:11:05.290110,1,0,0,0
2025-11-06 15:11:05.398936,1,0,0,0
2025-11-06 15:11:05.508882,1,0,0,0
2025-11-06 15:11:05.633166,1,0,0,0
2025-11-06 15:11:05.744321,1,0,0,0
2025-11-06 15:11:05.837886,1,0,0,0
2025-11-06 15:11:05.979256,1,0,0,0
2025-11-06 15:11:06.087990,1,0,0,0
2025-11-06 15:11:06.181141,1,0,0,0
2025-11-06 15:11:06.275440,1,0,0,0
2025-11-06 15:11:06.382614,1,0,0,0
2025-11-06 15:11:06.493327,1,0,0,0
2025-11-06 15:11:06.585767,1,0,0,0
2025-11-06 15:11:06.694748,1,0,0,0
2025-11-06 15:11:06.831039,1,0,0,0
2025-11-06 15:11:06.941243,1,0,0,0
2025-11-06 15:11:07.047734,1,0,0,0
2025-11-06 15:11:07.171013,1,0,0,0
2025-11-06 15:11:07.265154,1,0,0,0
2025-11-06 15:11:07.375028,1,0,0,0
2025-11-06 15:11:07.497635,1,0,0,0
2025-11-06 15:11:07.606581,1,0,0,0
2025-11-06 15:11:07.716970,1,0,0,0
2025-11-06 15:11:07.824050,1,0,0,0
2025-11-06 15:11:07.934483,1,0,0,0
2025-11-06 15:11:08.043250,1,0,0,0
2025-11-06 15:11:08.136750,1,0,0,0
2025-11-06 15:11:08.246143,1,0,0,0
2025-11-06 15:11:08.355477,1,0,0,0
2025-11-06 15:11:08.462945,1,0,0,0
2025-11-06 15:11:08.570958,1,0,0,0
2025-11-06 15:11:08.666463,1,0,0,0
2025-11-06 15:11:08.775471,1,0,0,0
2025-11-06 15:11:08.898684,1,0,0,0
2025-11-06 15:11:09.009323,1,0,0,0
2025-11-06 15:11:09.117318,1,0,0,0
2025-11-06 15:11:09.213464,1,0,0,0
2025-11-06 15:11:09.337700,1,0,0,0
2025-11-06 15:11:09.462436,1,0,0,0
2025-11-06 15:11:09.571463,1,0,0,0
2025-11-06 15:11:09.680191,1,0,0,0
2025-11-06 15:11:09.806806,1,0,0,0
2025-11-06 15:11:09.930024,1,0,0,0
2025-11-06 15:11:10.040361,1,0,0,0
2025-11-06 15:11:10.133411,1,0,0,0
2025-11-06 15:11:10.242314,1,0,0,0
2025-11-06 15:11:10.384509,1,0,0,0
2025-11-06 15:11:10.522454,1,0,0,0
2025-11-06 15:11:10.629933,1,0,0,0
2025-11-06 15:11:10.741449,1,0,0,0
2025-11-06 15:11:10.849845,1,0,0,0
2025-11-06 15:11:10.989860,1,0,0,0
2025-11-06 15:11:11.100429,1,0,0,0
2025-11-06 15:11:11.209833,1,0,0,0
2025-11-06 15:11:11.337273,1,0,0,0
2025-11-06 15:11:11.476610,1,0,0,0
2025-11-06 15:11:11.601112,1,0,0,0
2025-11-06 15:11:11.726892,1,0,0,0
2025-11-06 15:11:11.835775,1,0,0,0
2025-11-06 15:11:11.975551,1,0,0,0
2025-11-06 15:11:12.115333,1,0,0,0
2025-11-06 15:11:12.241042,1,0,0,0
2025-11-06 15:11:12.365681,1,0,0,0
2025-11-06 15:11:12.475846,1,0,0,0
2025-11-06 15:11:12.600481,1,0,0,0
2025-11-06 15:11:12.709440,1,0,0,0
2025-11-06 15:11:12.818392,1,0,0,0
2025-11-06 15:11:12.927621,1,0,0,0
2025-11-06 15:11:13.038658,1,0,0,0
2025-11-06 15:11:13.147242,1,0,0,0
2025-11-06 15:11:13.243197,1,0,0,0
2025-11-06 15:11:13.352623,1,0,0,0
2025-11-06 15:11:13.476767,1,0,0,0
2025-11-06 15:11:13.620384,1,0,0,0
2025-11-06 15:11:13.729368,1,0,0,0
2025-11-06 15:11:13.856573,1,0,0,0
2025-11-06 15:11:13.995496,1,0,0,0
2025-11-06 15:11:14.120361,1,0,0,0
2025-11-06 15:11:14.245382,1,0,0,0
2025-11-06 15:11:14.385372,1,0,0,0
2025-11-06 15:11:14.511087,1,0,0,0
2025-11-06 15:11:14.621479,1,0,0,0
2025-11-06 15:11:14.730611,1,0,0,0
2025-11-06 15:11:14.840870,1,0,0,0
2025-11-06 15:11:14.950239,1,0,0,0
2025-11-06 15:11:15.059140,1,0,0,0
2025-11-06 15:11:15.184753,1,0,0,0
2025-11-06 15:11:15.292964,1,0,0,0
2025-11-06 15:11:15.388206,1,0,0,0
2025-11-06 15:11:15.510890,1,0,0,0
2025-11-06 15:11:15.620851,1,0,0,0
2025-11-06 15:11:15.728878,1,0,0,0
2025-11-06 15:11:15.869763,1,0,0,0
2025-11-06 15:11:15.994248,1,0,0,0
2025-11-06 15:11:16.090016,1,0,0,0
2025-11-06 15:11:16.198258,1,0,0,0
2025-11-06 15:11:16.324676,1,0,0,0
2025-11-06 15:11:16.465042,1,0,0,0
2025-11-06 15:11:16.588130,1,0,0,0
2025-11-06 15:11:16.698778,1,0,0,0
2025-11-06 15:11:16.807893,1,0,0,0
2025-11-06 15:11:16.916583,1,0,0,0
2025-11-06 15:11:17.027927,1,0,0,0
2025-11-06 15:11:17.138177,1,0,0,0
2025-11-06 15:11:17.247785,1,0,0,0
2025-11-06 15:11:17.355601,1,0,0,0
2025-11-06 15:11:17.465431,1,0,0,0
2025-11-06 15:11:17.590583,1,0,0,0
2025-11-06 15:11:17.718069,1,0,0,0
2025-11-06 15:11:17.839061,1,0,0,0
2025-11-06 15:11:17.966984,1,0,0,0
2025-11-06 15:11:18.077286,1,0,0,0
2025-11-06 15:11:18.234611,1,0,0,0
2025-11-06 15:11:18.360104,1,0,0,0
2025-11-06 15:11:18.468440,1,0,0,0
2025-11-06 15:11:18.593180,1,0,0,0
2025-11-06 15:11:18.700768,1,0,0,0
2025-11-06 15:11:18.812435,1,0,0,0
2025-11-06 15:11:18.936238,1,0,0,0
2025-11-06 15:11:19.075657,1,0,0,0
2025-11-06 15:11:19.186414,1,0,0,0
2025-11-06 15:11:19.281209,1,0,0,0
2025-11-06 15:11:19.390262,1,0,0,0
2025-11-06 15:11:19.530220,1,0,0,0
2025-11-06 15:11:19.655362,1,0,0,0
2025-11-06 15:11:19.795037,1,0,0,0
2025-11-06 15:11:19.871144,1,0,0,0
2025-11-06 15:11:19.935553,1,0,0,0
2025-11-06 15:11:20.000423,1,0,0,0
2025-11-06 15:11:20.063341,1,0,0,0
2025-11-06 15:11:20.146096,1,0,0,0
2025-11-06 15:11:20.203827,1,0,0,0
2025-11-06 15:11:20.283773,1,0,0,0
2025-11-06 15:11:20.353584,1,0,0,0
2025-11-06 15:11:20.423367,1,0,0,0
2025-11-06 15:11:20.489955,1,0,0,0
2025-11-06 15:11:20.564940,1,0,0,0
2025-11-06 15:11:20.659220,1,0,0,0
2025-11-06 15:11:20.738263,1,0,0,0
2025-11-06 15:11:20.816282,1,0,0,0
2025-11-06 15:11:20.889085,1,0,0,0
2025-11-06 15:11:20.960670,1,0,0,0
2025-11-06 15:11:21.038389,1,0,0,0
2025-11-06 15:11:21.133657,1,0,0,0
2025-11-06 15:11:21.243095,1,0,0,0
2025-11-06 15:11:21.320139,1,0,0,0
2025-11-06 15:11:21.397733,1,0,0,0
2025-11-06 15:11:21.504075,1,0,0,0
2025-11-06 15:11:21.582491,1,0,0,0
2025-11-06 15:11:21.660935,1,0,0,0
2025-11-06 15:11:21.771548,1,0,0,0
2025-11-06 15:11:21.849925,1,0,0,0
2025-11-06 15:11:21.941319,1,0,0,0
2025-11-06 15:11:22.020485,1,0,0,0
2025-11-06 15:11:22.112814,1,0,0,0
2025-11-06 15:11:22.192260,1,0,0,0
2025-11-06 15:11:22.300961,1,0,0,0
2025-11-06 15:11:22.380290,1,0,0,0
2025-11-06 15:11:22.504286,1,0,0,0
2025-11-06 15:11:22.662367,1,0,0,0
2025-11-06 15:11:22.817510,1,0,0,0
2025-11-06 15:11:22.947667,1,0,0,0
2025-11-06 15:11:23.114507,1,0,0,0
2025-11-06 15:11:23.255470,1,0,0,0
2025-11-06 15:11:23.394956,1,0,0,0
2025-11-06 15:11:23.566674,1,0,0,0
2025-11-06 15:11:23.692457,1,0,0,0
2025-11-06 15:11:23.815553,1,0,0,0
2025-11-06 15:11:23.941646,1,0,0,0
2025-11-06 15:11:24.065887,1,0,0,0
2025-11-06 15:11:24.191302,1,0,0,0
2025-11-06 15:11:24.347783,1,0,0,0
2025-11-06 15:11:24.474487,1,0,0,0
2025-11-06 15:11:24.629706,1,0,0,0
2025-11-06 15:11:24.802859,1,0,0,0
2025-11-06 15:11:24.972929,1,0,0,0
2025-11-06 15:11:25.128145,1,0,0,0
2025-11-06 15:11:25.287067,1,0,0,0
2025-11-06 15:11:25.439935,1,0,0,0
2025-11-06 15:11:25.596177,1,0,0,0
2025-11-06 15:11:25.720292,1,0,0,0
2025-11-06 15:11:25.860344,1,0,0,0
2025-11-06 15:11:25.985629,1,0,0,0
2025-11-06 15:11:26.113359,1,0,0,0
2025-11-06 15:36:59.626836,0,0,0,0
2025-11-06 15:37:00.297944,0,0,0,0
2025-11-06 15:37:00.414340,1,0,0,0
2025-11-06 15:37:00.519753,1,0,0,0
2025-11-06 15:37:00.609138,1,0,0,0
2025-11-06 15:37:00.692727,1,0,0,0
2025-11-06 15:37:00.755277,1,0,0,0
2025-11-06 15:37:00.841017,1,0,0,0
